Shiran&yonatan,,,,,,,,,,,,Boaz,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,alt,lat,lon,Equal,lat diff,lon diff ,alt diff,,,,,,lat,lon,alt,
01/12/2017 10:46,Lenovo PB2-690Y,00:07:26:4f:07:ae,HOTBOX-1A14,34.66128724,32.17240894,34.81332522,1,0,0,0,,00:07:26:4f:07:ae,HOTBOX-1A14,6,-86,32.17240894,34.81332522,34.66128724,01/12/2017 11:06
01/12/2017 10:58,Lenovo PB2-690Y,00:0b:6c:4d:1b:3f,UFI_UF230_B3F,34.98400673,32.17025604,34.81245222,1,0.000317144,0.000164057,1.239941874,,00:0b:6c:4d:1b:3f,UFI_UF230_B3F,6,-58,32.17057319,34.81261628,33.74406486,01/12/2017 11:06
01/12/2017 10:49,SM-G950F,00:12:2a:35:c8:7c,Chakir,30.59005383,32.17228483,34.8140369,1,3.99429E-09,6.30195E-10,2.90701E-10,,00:12:2a:35:c8:7c,Chakir,1,-86,32.17228483,34.8140369,30.59005383,01/12/2017 10:49
01/12/2017 10:58,Lenovo PB2-690Y,00:12:2a:d2:0c:38,test012,34.49692459,32.17105809,34.81351327,1,1.0665E-09,1.3105E-09,7.93904E-10,,00:12:2a:d2:0c:38,test012,1,-87,32.17105809,34.81351327,34.49692459,01/12/2017 10:58
01/12/2017 10:45,SM-G950F,00:12:2a:e1:6c:48,Oded 2.4Ghz,34.6656312,32.17124828,34.81282314,1,0.000178385,4.1599E-05,0.831340277,,00:12:2a:e1:6c:48,Oded 2.4Ghz,11,-69,32.17106989,34.81278154,35.49697147,01/12/2017 10:58
01/12/2017 10:58,SM-G950F,00:12:2a:e1:6c:4c,Oded 5Ghz,27.63776577,32.17085627,34.81274933,1,0.000454058,9.34078E-05,5.854974008,,00:12:2a:e1:6c:4c,Oded 5Ghz,48,-82,32.17131033,34.81284274,33.49273978,01/12/2017 10:46
01/12/2017 10:44,Lenovo PB2-690Y,00:13:d4:0f:f3:ba,home,33.83885117,32.17085899,34.81142233,1,1.89687E-06,3.42346E-07,0.055158867,,00:13:d4:0f:f3:ba,home,1,-77,32.17086089,34.81142267,33.7836923,01/12/2017 10:44
01/12/2017 10:59,Lenovo PB2-690Y,00:14:bf:42:7e:96,hot,40,32.17022651,34.81242086,1,0,0,0,,00:14:bf:42:7e:96,hot,9,-83,32.17022651,34.81242086,40,01/12/2017 10:59
01/12/2017 10:45,Lenovo PB2-690Y,00:1c:10:09:4f:bc,hot,38.01001933,32.17047629,34.81255111,1,0.000164034,6.995E-05,1.176539474,,00:1c:10:09:4f:bc,hot,3,-71,32.17064033,34.81262106,39.18655881,01/12/2017 10:58
01/12/2017 10:58,SM-G950F,00:21:04:e7:95:da,orange,29.3070933,32.17019246,34.81352784,1,3.9038E-09,3.2401E-09,1.9263E-09,,00:21:04:e7:95:da,orange,1,-74,32.17019246,34.81352784,29.3070933,01/12/2017 10:58
01/12/2017 10:45,SM-G950F,00:21:63:4d:73:31,Astra,34.20075967,32.16987167,34.81230085,1,6.82E-10,1.9923E-09,1.66203E-10,,00:21:63:4d:73:31,Astra,6,-86,32.16987167,34.81230085,34.20075967,01/12/2017 10:45
01/12/2017 10:58,SM-G950F,00:24:01:18:99:57,dlink,29.07004588,32.17010133,34.81351418,1,3.2443E-09,3.2369E-09,2.8379E-09,,00:24:01:18:99:57,dlink,6,-67,32.17010133,34.81351418,29.07004588,01/12/2017 10:58
